四五快读S1U1 斑马AI阅读课S1U2 小羊上山S1 | 一 | yī | 1. 数名，最小的正整数（在钞票和单据上常用大写“壹”代）。<br>2. 纯；专：专一。一心一意。<br>3. 全；满：一生。一地水。<br>4. 相同：一样。颜色不一。<br>5. 另外的：蟋蟀一名促织。<br>6. 表示动作短暂，或是一次，或具试探性：算一算。试一试。<br>7. 乃；竞：一至于此。<br>8. 部分联成整体：统一。整齐划一。<br>9. 或者：一胜一负。<br>10. 初次：一见如故。<br>11. 中国古代乐谱记音符号，相当于简谱中的低音“7”。
四五快读S1U1 斑马AI阅读课S1U2 小羊上山S1 | 二 | èr | 1. 数名：一加一（在钞票和单据上常用大写“贰”代）。<br>2. 双，比：独一无二。<br>3. 两样，别的：二话。不二价。
斑马AI阅读课S1U2 四五快读S1U2 小羊上山S1 | 三 | sān | 1. 数名，二加一（在钞票和单据上常用大写“叁”代）：三维空间。三部曲。三国（中国朝代名）。<br>2. 表示多次或多数：三思而行。三缄其口。
四五快读S1U4 小羊上山S1 | 四 | sì | 1. 数名，三加一（在钞票和单据上常用大写“肆”代）：四方。四边。四序（即“四季”）。四体（ａ．指人的四肢；ｂ．指楷、草、隶、篆四种字体）。四库（古籍经、史、子、集四部的代称。亦称“四部”）。四君子（中国画中对梅、兰、竹、菊四种花卉题材的总称）。<br>2. 中国古代乐谱的记音符号，相当于简谱中的低音“6”。
四五快读S1U5 小羊上山S1 | 五 | wǔ | 1. 数名，四加一（在钞票和单据上常用大写“伍”代）：五彩。五官。五谷。五金。五代（中国朝代名，后梁、后唐、后晋、后汉、后周先后在中原建立政权的时期）。五帝（中国传说中的五个帝王，通常指黄帝、颛顼、帝喾、唐尧、虞舜）。五毒（指蝎、蛇、蜈蚣、壁虎、蟾蜍）。五行（指金、木、水、火、土）。五岭（指越城岭，都庞岭，萌渚岭、骑田岭、大庾岭）。五岳（指东岳泰山、西岳华山、南岳衡山、北岳恒山和中岳嵩山，是中国历史上五大名山）。五脏（指心、肝、脾、肺、肾）。<br>2. 中国古代乐谱的记音符号，相当于简谱“6”。
四五快读S1U6 小羊上山S1 | 六 | liù | 1. 数名，五加一（在钞票或单据上常用大写“陆”代）：六书（古时分析汉字形、音、义而归纳出来的六种造字法）。六甲。六艺（①古时指“礼”、“乐”、“射”、“御”、“书”、“数”六种技艺；②六经）。六欲（佛教名词，指“色欲”、“形貌欲”、“威仪姿态欲”、“言语音声欲”、“细滑欲”、“人想欲”；泛指人的各种欲望）。六合（“东”、“南”、“西”、“北”、“上”、“下”，用以指天地和宇宙）。六亲（较早是指“父”、“母”、“妻”、“子”、“兄”、“弟”；泛指所有亲属）。六经（六种儒家经典，即《诗》、《书》、《易》、《礼》、《乐》、《春秋》）。六畜（六种家畜，指“猪”、“牛”、“羊”、“马”、“鸡”、“狗”）。六朝（cháo ）（“吴”、“东晋”、“宋”、“齐”、“梁”、“陈”，先后建都于建康，即今中国江苏省南京市，后又泛称“南北朝”）。六腑（中医指“胃”、“胆”、“大肠”、“小肠”、“膀胱”、“三焦”）。六言诗。六弦琴。<br>2. 中国古代乐谱的记音符号，相当于简谱“5”。
小羊上山S1 四五快读S1U7 | 七 | qī | 1. 数名，六加一（在钞票和单据上常用大写“柒”代）。<br>2. 文体名，或称“七体”，为赋体的另一种形式。<br>3. 旧时人死后每隔七天一祭，共七次，称“做七”。
四五快读S1U8 小羊上山S1 | 八 | bā | 
小羊上山S1 四五快读S1U9 | 九 | jiǔ | 1. 数目，八加一（在钞票和单据上常用大写“玖”代）：九归。<br>2. 泛指多次或多数：九死一生。九霄云外。
四五快读S1U10 小羊上山S1 | 十 | shí | 1. 数名，九加一（在钞票和单据上常用大写“拾”代）。<br>2. 表示多、久：十室九空。<br>3. 表示达到顶点：十足。十成。
小羊上山S1 | 两 | liǎng | 1. 数目，二。一般用于量词和“个、半、千、万、亿”前：两个黄鹂。两本书。<br>2. 双方：两可。两边。两便（客套用语，彼此方便）。两旁。两侧。两袖清风。两败俱伤。<br>3. 中国市制重量单位：十两（一市斤。旧制为十六两一市斤）。半斤八两（喻彼此一样，不相上下，含贬义）。<br>4. 表示不定数目：两下子。两着儿（zhāor ）。
